Site	basin	TD	FD	PD	LCBDtax	LCBDfunc	LCBDphylo	Elevation	Gradient	SPI	Qmon	Qann	CatchArea	Order	Out_dist	MAT	Tsea	Ttrend	MAP	Psea	Ptrend	HFP	Urban	Cropland	TN	TP	EC	pH	DO	COD
SHR1	SHR	8.056588884	4.09093378	2.152703282	0.960905	2.42623699	0.153706	124	0.010095	0.005982072	0.661458333	0.069	20.5	1	1964.7	5.89817454	15.09561556	0.032395986	680.3574646	113.9405208	1.1884102	22.58739662	0.275762433	0.359505018	0.776678212	0.669512	264	7.44	6.646153846	7.4
SHR2	SHR	7.088306085	2.185623238	1.813027199	0.941817	1.06431467	0.938556	118	0.0001	0.085259844	6818.994792	1.21	350.2	3	1927.7	5.64590966	15.15558751	0.032628875	657.700617	114.0167938	1.465141298	12.33060074	0.022704249	0.957046383	0.577271978	0.989846	225	7.18	4.984615385	7.4
SHR3	SHR	19.97789705	5.979131614	3.750599039	0.937306	1.18E-01	7.62E-02	179	0.013766	0.0001	1.390625	0.057	12.9	1	1979.6	4.681210799	15.49955484	0.034382313	731.0095248	114.8490158	1.424549222	24.2381916	0	1	0.570344714	0.745256	235	8.08	6.298642534	7.8
SHR4	SHR	9.157993418	2.579531549	2.065507517	0.965749	0.71264925	0.360256	174	0.007342	0.004987542	0.932291667	0.145	32.4	1	1988.9	4.681210799	15.48934701	0.034382313	731.0095248	114.1589739	1.424549222	22.74082375	0.049246312	0.938551554	0.791522349	0.82889	136.6	7.59	7.107692308	7.3
SHR5	SHR	10.11404891	4.068944357	2.38343042	0.980779	0.723482193	0.747814	188	0.032121	0.0009995	0.46875	0.145	32.4	1	1988.9	4.681210799	15.4495898	0.034382313	731.0095248	114.0590487	1.424549222	31.34199715	0.043959235	0.944533789	0.80364506	1.18394	673	7.09	5.31	8.3
SHR6	SHR	13.7786139	2.646778359	2.388630676	0.991717	0.50178338	1.338205	196	0.019273	0.0001	2.536458333	0.105	22.3	1	2006.4	4.556200101	15.48989664	0.034171511	764.0008362	113.1476213	1.23151462	14.36398602	0.022344829	0.965219955	0.794326241	0.675824	288	7.24	6.830769231	7.7
SHR7	SHR	7.723168436	2.813012029	1.844013322	1.03906	0.534911032	0.536899	128	0.0001	0.001998003	8048.5	0.215	44.8	2	1823.6	5.147316176	15.24224668	0.031303739	828.4335401	107.6291907	1.307465293	13.35937214	0.048288136	0.482724826	0.759112651	1.060856	245	7.98	7.384615385	7.6
SHR8	SHR	9.428645656	3.902288576	2.033669759	1.028758	0.668643975	1.109924	125	0.0001	7.913894759	8144.953125	1567.253	435594.4	8	1798.6	4.960204343	15.19246505	0.0313399	862.6342655	109.2684729	1.220921879	35.88316345	0.1551686	0.274602618	0.743773709	0.380738	147.8	7.46	7.2	7.1
SHR9	SHR	12.49389962	5.732631779	2.216042167	0.889836	0.272768537	1.930774	186	0.0001	0.002995509	1.635416667	0.457	121.1	1	1944.5	5.739733516	15.32409834	0.03181057	772.1569422	112.1776108	1.212826851	14.37873173	0	1	0.485238331	0.082496	240	8.65	7.846153846	6.9
SHR10	SHR	17.68865319	4.664019326	2.419811818	0.983578	7.55E-02	0.136273	175	0.001079	0.0009995	6.494791667	0.086	22.4	1	1932	5.739733516	15.30563196	0.03181057	772.1569422	111.9534577	1.212826851	14.61257172	0.014685612	0.980732295	0.589147287	0.115634	436	8.59	6.092307692	7.3
SHR11	SHR	19.3067764	4.491093117	2.93458177	0.9916	0.162558315	9.32E-02	170	0.044051	0.001998003	6.494791667	0.086	22.4	1	1932	5.739733516	15.29457297	0.03181057	772.1569422	112.015089	1.212826851	14.01514912	0.000714691	0.999285309	0.760349662	0.15035	484	8.81	7.661538462	8.7
SHR12	SHR	14.44772125	3.176294565	2.64387517	0.954285	0.269487424	0.510612	162	0.00826	0.0001	0.489583333	0.231	61.9	1	1917.3	5.801903704	15.24163412	0.031773619	746.6685417	112.1660815	1.276871983	19.40465927	0	1	0.766782121	1.322804	182	7.16	5.353846154	12.2
SHR13	SHR	5.231645359	2.583828275	1.149314416	1.122314	0.370144246	0.33827	186	0.021108	0.0001	0.723958333	0.074	18.6	1	1908	5.739733516	15.29249006	0.03181057	772.1569422	111.6402038	1.212826851	38.9610939	0.298058826	0.699626876	0.5688603	0.52118	256	7.25	5.261538462	7.8
SHR14	SHR	13.56695357	3.561741619	2.219672791	0.894342	0.374894153	9.90E-02	144	0.027532	0.0009995	1.546875	16.442	3347.3	4	1869	5.332482194	15.11426373	0.030052247	814.2879965	109.5554786	1.413036221	38.85531998	0.61733721	0.319809789	0.832261257	0.93146	130.6	6.83	5.630769231	12.9
SHR15	SHR	9.055714595	3.127620666	2.253579097	1.000392	0.25470783	1.01198	141	0.004589	0.0001	124.7916667	16.186	3292	4	1875.3	5.332482194	15.25786786	0.030052247	814.2879965	110.1232459	1.413036221	36.66188431	0.177519841	0.783748372	0.819396338	1.076636	125.6	6.91	6.461538462	12.5
