Site	river_type	basin
SHR1	Small	SHR
SHR2	Small	SHR
SHR3	Small	SHR
SHR4	Small	SHR
SHR5	Small	SHR
SHR6	Small	SHR
SHR7	Small	SHR
SHR8	Large	SHR
SHR9	Small	SHR
SHR10	Small	SHR
SHR11	Small	SHR
SHR12	Small	SHR
SHR13	Small	SHR
SHR14	Small	SHR
SHR15	Small	SHR
SHR16	Small	SHR
SHR17	Small	SHR
SHR18	Small	SHR
SHR19	Small	SHR
SHR20	Small	SHR
SHR21	Small	SHR
SHR22	Large	SHR
SHR23	Large	SHR
SHR24	Large	SHR
SHR25	Small	SHR
SHR26	Small	SHR
SHR27	Small	SHR
SHR28	Small	SHR
SHR29	Small	SHR
SHR30	Small	SHR
SHR31	Large	SHR
SHR32	Large	SHR
SHR33	Small	SHR
SHR34	Large	SHR
SHR35	Small	SHR
SHR36	Small	SHR
SHR37	Large	SHR
SHR38	Small	SHR
SHR39	Small	SHR
SHR40	Small	SHR
SHR41	Large	SHR
SHR42	Large	SHR
SHR43	Large	SHR
SHR44	Small	SHR
SHR45	Small	SHR
SHR46	Large	SHR
SHR47	Large	SHR
SHR48	Large	SHR
SHR49	Small	SHR
SHR50	Large	SHR
SHR51	Small	SHR
SHR52	Large	SHR
SHR53	Small	SHR
SHR54	Large	SHR
SHR55	Large	SHR
SHR56	Small	SHR
SHR57	Small	SHR
SHR58	Large	SHR
SHR59	Large	SHR
SHR60	Small	SHR
SHR61	Large	SHR
SHR62	Small	SHR
SHR63	Small	SHR
SHR64	Small	SHR
SHR65	Small	SHR
SHR66	Small	SHR
SHR67	Small	SHR
SHR68	Large	SHR
SHR69	Large	SHR
SHR70	Large	SHR
SHR71	Small	SHR
SHR72	Large	SHR
SHR73	Small	SHR
SHR74	Small	SHR
SHR75	Large	SHR
SHR76	Small	SHR
SHR77	Small	SHR
SHR78	Large	SHR
SHR79	Small	SHR
SHR80	Large	SHR
SHR81	Large	SHR
SHR82	Small	SHR
SHR83	Large	SHR
SHR84	Large	SHR
SHR85	Large	SHR
SHR86	Large	SHR
SHR87	Large	SHR
SHR88	Large	SHR
SHR89	Small	SHR
SHR90	Small	SHR
SHR91	Small	SHR
SHR92	Large	SHR
SHR93	Large	SHR
SHR94	Large	SHR
SHR95	Small	SHR
SHR96	Small	SHR
SHR97	Small	SHR
LR1	Small	LR
LR2	Small	LR
LR3	Small	LR
LR4	Small	LR
LR5	Large	LR
LR6	Large	LR
LR7	Large	LR
LR8	Small	LR
LR9	Small	LR
LR10	Large	LR
LR11	Large	LR
LR12	Large	LR
LR13	Large	LR
LR14	Large	LR
LR15	Small	LR
LR16	Small	LR
LR17	Large	LR
LR18	Small	LR
LR19	Small	LR
LR20	Large	LR
LR21	Large	LR
LR22	Large	LR
LR23	Small	LR
LR24	Large	LR
LR25	Small	LR
LR26	Small	LR
LR27	Small	LR
LR28	Small	LR
LR29	Small	LR
LR30	Large	LR
LR31	Small	LR
LR32	Large	LR
LR33	Small	LR
LR34	Large	LR
LR35	Large	LR
LR36	Large	LR
LR37	Large	LR
LR38	Large	LR
LR39	Small	LR
LR40	Large	LR
LR41	Small	LR
LR42	Small	LR
LR43	Large	LR
LR44	Small	LR
LR45	Small	LR
LR46	Small	LR
LR47	Small	LR
LR48	Small	LR
LR49	Small	LR
LR50	Small	LR
LR51	Small	LR
LR52	Small	LR
LR53	Small	LR
LR54	Small	LR
LR55	Small	LR
LR56	Small	LR
LR57	Small	LR
LR58	Small	LR
LR59	Small	LR
LR60	Small	LR
LR61	Small	LR
LR62	Small	LR
LR63	Small	LR
LR64	Small	LR
LR65	Small	LR
LR66	Small	LR
LR67	Small	LR
LR68	Small	LR
LR69	Small	LR
LR70	Small	LR
LR71	Small	LR
LR72	Small	LR
LR73	Small	LR
LR74	Small	LR
LR75	Small	LR
LR76	Small	LR
LR77	Small	LR
LR78	Small	LR
LR79	Small	LR
LR80	Small	LR
LR81	Small	LR
LR82	Small	LR
LR83	Small	LR
LR84	Small	LR
LR85	Small	LR
LR86	Small	LR
LR87	Small	LR
LR88	Small	LR
LR89	Small	LR
LR90	Small	LR
LR91	Small	LR
LR92	Small	LR
LR93	Small	LR
LR94	Small	LR
LR95	Small	LR
LR96	Small	LR
LR97	Small	LR
LR98	Small	LR
LR99	Small	LR
LR100	Small	LR
LR101	Small	LR
LR102	Small	LR
LR103	Small	LR
LR104	Small	LR
LR105	Small	LR
LR106	Small	LR
LR107	Small	LR
LR108	Small	LR
LR109	Small	LR
LR110	Small	LR
LR111	Small	LR
LR112	Small	LR
LR113	Small	LR
LR114	Small	LR
LR115	Small	LR
LR116	Small	LR
LR117	Small	LR
LR118	Small	LR
LR119	Small	LR
LR120	Small	LR
LR121	Small	LR
LR122	Small	LR
LR123	Small	LR
LR124	Small	LR
LR125	Small	LR
LR126	Small	LR
LR127	Small	LR
LR128	Small	LR
LR129	Small	LR
LR130	Small	LR
LR131	Small	LR
LR132	Small	LR
LR133	Small	LR
LR134	Small	LR
LR135	Small	LR
LR136	Small	LR
LR137	Small	LR
LR138	Small	LR
LR139	Small	LR
LR140	Small	LR
LR141	Small	LR
LR142	Small	LR
LR143	Small	LR
LR144	Small	LR
LR145	Small	LR
LR146	Small	LR
LR147	Small	LR
LR148	Small	LR
LR149	Small	LR
LR150	Small	LR
LR151	Small	LR
LR152	Large	LR
LR153	Large	LR
LR154	Large	LR
LR155	Large	LR
LR156	Large	LR
LR157	Large	LR
LR158	Small	LR
LR159	Small	LR
LR160	Small	LR
LR161	Small	LR
LR162	Small	LR
LR163	Small	LR
LR164	Small	LR
LR165	Small	LR
LR166	Large	LR
LR167	Small	LR
HAR1	Small	HAR
HAR2	Small	HAR
HAR3	Large	HAR
HAR4	Small	HAR
HAR5	Small	HAR
HAR6	Large	HAR
HAR7	Small	HAR
HAR8	Large	HAR
HAR9	Small	HAR
HAR10	Small	HAR
HAR11	Small	HAR
HAR12	Small	HAR
HAR13	Small	HAR
HAR14	Small	HAR
HAR15	Large	HAR
HAR16	Small	HAR
HAR17	Small	HAR
HAR18	Small	HAR
HAR19	Small	HAR
HAR20	Small	HAR
HAR21	Small	HAR
HAR22	Small	HAR
HAR23	Small	HAR
HAR24	Small	HAR
HAR25	Small	HAR
HAR26	Small	HAR
HAR27	Large	HAR
HAR28	Small	HAR
HAR29	Large	HAR
HAR30	Small	HAR
HAR31	Small	HAR
HAR32	Small	HAR
HAR33	Small	HAR
HAR34	Large	HAR
HAR35	Large	HAR
HAR36	Large	HAR
HAR37	Small	HAR
HAR38	Small	HAR
HAR39	Small	HAR
HAR40	Small	HAR
HAR41	Small	HAR
HAR42	Small	HAR
HAR43	Small	HAR
HAR44	Small	HAR
HAR45	Small	HAR
HAR46	Large	HAR
HAR47	Large	HAR
HAR48	Small	HAR
HAR49	Small	HAR
HAR50	Large	HAR
HAR51	Small	HAR
HAR52	Large	HAR
HAR53	Large	HAR
HAR54	Large	HAR
HAR55	Small	HAR
HAR56	Small	HAR
HAR57	Small	HAR
HAR58	Small	HAR
HAR59	Small	HAR
HAR60	Small	HAR
HAR61	Small	HAR
HAR62	Small	HAR
HAR63	Small	HAR
