Species	Size	Guild	Life form	Attachment	Nitrogen fixing	Pollution tolerance	Trophic preference	Oxygen requirement
Acanthoceras zachariasii	Macro	Low profile	Unicellular life form	Unattached	N	3	5	1
Achnanthes affinis	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5	1
Achnanthes amphicephala	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5	2
Achnanthes biasolettiana	Micro	Low profile	Unicellular life form	Strong attachment	N	2.085	5	1
Achnanthes brevipes	Micro	Low profile	Unicellular life form	Strong attachment	N	2.14	5	2
Achnanthes clevei	Micro	Low profile	Unicellular life form	Strong attachment	N	1.187	5	1
Achnanthes crenulata	Micro	Low profile	Unicellular life form	Strong attachment	N	3.2	5	1
Achnanthes delicatula	Micro	Low profile	Unicellular life form	Strong attachment	N	3.2	5	1
Achnanthes exigua	Micro	Low profile	Unicellular life form	Strong attachment	N	2.04	5	1
Achnanthes hauckiana	Micro	Low profile	Unicellular life form	Strong attachment	N	3.2	5	1
Achnanthes heideni	Micro	Low profile	Unicellular life form	Strong attachment	N	1.802	5	1
Achnanthes inflata	Macro	Motile	Unicellular life form	Unattached	N	2	5	1
Achnanthes lanceolata	Micro	Low profile	Unicellular life form	Strong attachment	N	2.272	5	1
Achnanthes lanceolata var. angulata	Micro	Low profile	Unicellular life form	Strong attachment	N	1.906	5	1
Achnanthes lanceolata f. capitata	Micro	Low profile	Unicellular life form	Strong attachment	N	1.918	5	1
Achnanthes linearis	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5	1
Achnanthes longboardia	Macro	Motile	Unicellular life form	Unattached	N	2.129	5	1
Achnanthes minutissima	Micro	Low profile	Unicellular life form	Strong attachment	N	1.254	5	1
Achnanthes spp.	Micro	Low profile	Unicellular life form	Strong attachment	N	1.895	5	1
Achnanthes tibetica	Micro	Low profile	Unicellular life form	Strong attachment	N	2.685	5	1
Achnanthes trinodis	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5	1
Achnanthidium affine	Macro	Low profile	Unicellular life form	Strong attachment	N	1	5.204	2.193
Achnanthidium atomoides	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5.402	3.96
Achnanthidium atomus	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5.427	2.401
Achnanthidium biasolettiana	Micro	Low profile	Unicellular life form	Strong attachment	N	1.787	5.546	2.091
Achnanthidium caledonicum	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5.306	2.302
Achnanthidium caravelense	Micro	Low profile	Unicellular life form	Strong attachment	N	1.701	5.476	2.606
Achnanthidium catenatum	Micro	Low profile	Unicellular life form	Strong attachment	N	1.5	5.171	2.702
Achnanthidium coarctatum	Micro	Low profile	Unicellular life form	Strong attachment	N	1.783	5.142	2.005
Achnanthidium convergens	Micro	Low profile	Unicellular life form	Strong attachment	N	3	5.328	2.368
Achnanthidium crassum	Nano	Motile	Unicellular life form	Weak attachment	N	1.4	5.753	1.978
Achnanthidium delmontii	Nano	Motile	Unicellular life form	Weak attachment	N	2	5.502	3.093
Achnanthidium duthii	Micro	Low profile	Unicellular life form	Strong attachment	N	1.712	5.476	2.032
Achnanthidium ennediense	Micro	Low profile	Unicellular life form	Strong attachment	N	1.354	4.811	2.505
Achnanthidium eutrophilum	Micro	Low profile	Unicellular life form	Strong attachment	N	3	5	1.438
Achnanthidium exiguum	Micro	Low profile	Unicellular life form	Strong attachment	N	3	5.383	2.264
Achnanthidium exiguum var. constricta	Micro	Low profile	Unicellular life form	Strong attachment	N	1.71	5.141	2.312
Achnanthidium exile	Micro	Low profile	Unicellular life form	Strong attachment	N	1	4.608	2.774
Achnanthidium gracillimum	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5.479	2.06
Achnanthidium jackii	Micro	Low profile	Unicellular life form	Strong attachment	N	1	7	1
Achnanthidium latecephalum	Micro	Low profile	Unicellular life form	Strong attachment	N	3.4	5.413	2.395
Achnanthidium lineare	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5.306	3.873
Achnanthidium minutissimum	Nano	Low profile	Unicellular life form	Weak attachment	N	1	7	1
Achnanthidium pfisteri	Micro	Low profile	Unicellular life form	Strong attachment	N	2	5.288	2.5
Achnanthidium pseudoconspicuum	Micro	Low profile	Unicellular life form	Strong attachment	N	1.847	5.537	2.121
Achnanthidium pyrenaicum	Micro	Low profile	Unicellular life form	Strong attachment	N	1	3	3.176
Achnanthidium reimeri	Micro	Low profile	Unicellular life form	Strong attachment	N	1	5.281	2.182
Achnanthidium rivulare	Micro	Low profile	Unicellular life form	Strong attachment	N	2	5.516	2.518
Achnanthidium saprophilum	Micro	Low profile	Unicellular life form	Strong attachment	N	3	6	5
Achnanthidium sieminskae	Micro	Low profile	Unicellular life form	Strong attachment	N	1.781	5.447	2.291
Achnanthidium spp.	Micro	Low profile	Unicellular life form	Strong attachment	N	1.747	4.835	2.843
Achnanthidium straubianum	Micro	Low profile	Unicellular life form	Strong attachment	N	3	4	2.082
Achnanthidium subatomus	Micro	Low profile	Unicellular life form	Strong attachment	N	1	4.627	2.788
Achnanthidium subhudsonis	Micro	Low profile	Unicellular life form	Strong attachment	N	1	4.999	2.604
Achnanthidium subhudsonis var. kraeuselii	Nano	Low profile	Unicellular life form	Unattached	N	1.729	5.324	2.598
